 ID товара: , ISBN , Возраст , Год издания , Издательство , Кол-во страниц , Переводчик , Редактор , Серия , Тип обложки , Тираж , Формат , Художник ,ID карточки,Автор,Голоса,Название,Обложка,Рейтинг,Цена
 2176647 , 9785699301973 ,, 2008 , Эксмо , 320 ,,, Волшебные миры Дмитрия Емца , Мягкая бумажная ,, 20 x 12.5 x 1.9 ,,434605, Емец Д. ,0,Тайна Звездного странника,https://img-gorod.ru/upload/iblock/03c/03c6e2f70b124327531b4dbd717414d1.jpg,0.0,96.0
 2179116 , 9785699307227 ,, 2008 , Эксмо , 416 ,,, Мефодий Буслаев , Мягкая бумажная ,, 20.7 x 13.9 x 3.1 ,,435189, Емец Д. ,1,Мефодий Буслаев Карта Хаоса,https://img-gorod.ru/upload/iblock/4c9/4c972031aea48ba6990e4031800b3145.jpg,5.0,
 2185110 , 9785699325450 ,, 2009 , Эксмо , 352 ,,, Волшебные миры Дмитрия Емца , Мягкая бумажная ,, 20 x 12.6 x 2 ,,436749, Емец Д. ,0,Планета Черного Императора,https://img-gorod.ru/upload/iblock/ad3/ad3e0abbb880da1a3b30e000cffc3128.jpg,0.0,
 2189988 , 9785373023122 ,, 2009 , Олма Медиагрупп , 350 ,,, Коты-воители , Твердая бумажная ,, 20.6 x 13.5 x 2 ,,437293, Хантер Э. ,0,Отверженные,https://img-gorod.ru/upload/iblock/491/4917fb3a94f99e1b6ef09e1bcb0021e5.jpg,0.0,
 2196985 , 9785699332168 ,, 2009 , Эксмо , 416 ,,, Большая книга фантастических приключений , Твердая бумажная ,, 22 x 14.5 x 3 ,,439140, Емец Д. ,0,Месть мертвого Императора Звездолет из каменного века,https://img-gorod.ru/upload/iblock/634/63420ab9d4ff2f2ed87540c6d44b73d0.jpg,0.0,
 2197095 , 9785373024389 ,, 2017 , Олма Медиагрупп , 320 , Максимова Вероника ,, Коты-воители , Твердая бумажная , 4000 , 21 x 13 x 2 , Насыров Леонид ,439197, Хантер Э. ,2,Лес секретов,https://img-gorod.ru/upload/iblock/365/365bd4c0cd98be384c4dd43148b7fc2b.jpg,5.0,304.0
 2198948 , 9785699335350 ,, 2009 , Эксмо , 416 ,,, Большая книга фантастических приключений , Твердая бумажная ,, 22 x 14.6 x 3 ,,439758, Емец Д. ,1,Мутантики Королева мутантиков,https://img-gorod.ru/upload/iblock/231/2319580d6b4786240759ed5207554d22.jpg,5.0,
 2200240 , 9785373024426 ,, 2009 , Олма Медиагрупп , 352 ,,, Коты-воители , Твердая бумажная ,, 20.7 x 13.5 x 2.3 ,,440184, Хантер Э. ,0,Послание,https://img-gorod.ru/upload/iblock/872/8722c35e37184155e2eb93b08b256214.jpg,0.0,
 2201663 , 9785699349357 ,, 2009 , Эксмо , 416 ,,, Большая книга фантастических приключений , Твердая бумажная ,, 22 x 15 x 3 ,,440667, Емец Д. ,0,Сокровища мутантиков Колесница призраков,https://img-gorod.ru/upload/iblock/aae/aae5e11a2cde58730be062661098e24b.jpg,0.0,
 2203916 , 9785699356102 ,, 2009 , Эксмо , 352 ,,, Большая книга фантастических приключений , Твердая бумажная ,, 22 x 14.6 x 2.8 ,,441311, Емец Д. ,1,Город динозавров Пришельцы из холодильника,https://img-gorod.ru/upload/iblock/fe7/fe725c2f9d3d96692793d681cf0f272d.jpg,5.0,
 2212965 , 9785373030687 ,, 2009 , Олма Медиагрупп , 304 , Максимова Вероника , Корчагина Ольга , Странники , Твердая бумажная ,, 20.9 x 13.2 x 1.6 , Насыров Леонид ,442954, Хантер Э. ,2,Первые испытания,https://img-gorod.ru/upload/iblock/329/32918d7359e8616562291c2efe802c22.jpg,4.0,
 2213092 , 9785367011111 ,, 2014 ," Амфора, ООО ", 320 ,,, Хроники Ехо , Мягкая глянцевая , 3000 , 18 x 11.5 x 2 ,,442981, Фрай М. ,1,Чуб Земли,https://img-gorod.ru/upload/iblock/632/6320979b00fac11d1a70122fbe4ba940.jpg,5.0,149.0
